[Video Information]
height: 116

Frame: 1365
x: 68
y: 110
width: 43
height: 116

Frame: 1366
x: 68
y: 110
width: 39
height: 116

Frame: 1367
x: 70
y: 110
width: 39
height: 116

Frame: 1368
x: 71
y: 110
width: 39
height: 116

Frame: 1369
x: 73
y: 110
width: 39
height: 116

Frame: 1370
x: 75
y: 110
width: 39
height: 116

Frame: 1371
x: 77
y: 110
width: 39
height: 116

Frame: 1372
x: 78
y: 110
width: 39
height: 116

Frame: 1373
x: 80
y: 110
width: 39
height: 116

Frame: 1374
x: 82
y: 109
width: 39
height: 116

Frames: 1375 to 1377
x: 83
y: 109
width: 39
height: 116

Frame: 1378
x: 84
y: 109
width: 39
height: 116

Frame: 1379
x: 86
y: 108
width: 39
height: 116

Frame: 1380
x: 87
y: 107
width: 39
height: 116

Frame: 1381
x: 89
y: 108
width: 39
height: 110

Frame: 1382
x: 90
y: 112
width: 39
height: 110

Frame: 1383
x: 95
y: 112
width: 39
height: 110

Frame: 1384
x: 96
y: 111
width: 39
height: 110

Frame: 1385
x: 98
y: 111
width: 39
height: 110

Frame: 1386
x: 100
y: 110
width: 39
height: 110

Frame: 1387
x: 101
y: 110
width: 39
height: 110

Frames: 1388 to 1389
x: 99
y: 107
width: 39
height: 110

Frame: 1390
x: 100
y: 107
width: 39
height: 110

Frame: 1391
x: 101
y: 108
width: 39
height: 106

Frame: 1392
x: 102
y: 108
width: 39
height: 106

Frame: 1393
x: 103
y: 108
width: 39
height: 106

Frame: 1394
x: 105
y: 108
width: 39
height: 106

Frame: 1395
x: 107
y: 108
width: 39
height: 106

Frame: 1396
x: 109
y: 108
width: 39
height: 106

Frame: 1397
x: 111
y: 108
width: 39
height: 106

Frame: 1398
x: 112
y: 108
width: 39
height: 106

Frame: 1399
x: 114
y: 108
width: 39
height: 106

Frame: 1400
x: 114
y: 108
width: 36
height: 106

Frame: 1401
x: 116
y: 108
width: 36
height: 106

Frame: 1402
x: 119
y: 108
width: 36
height: 106

Frame: 1403
x: 121
y: 107
width: 36
height: 106

Frame: 1404
x: 122
y: 106
width: 36
height: 106

Frame: 1405
x: 124
y: 105
width: 36
height: 106

Frame: 1406
x: 129
y: 109
width: 36
height: 99

Frame: 1407
x: 130
y: 109
width: 36
height: 99

Frame: 1408
x: 132
y: 108
width: 36
height: 99

Frame: 1409
x: 134
y: 107
width: 36
height: 99

Frame: 1410
x: 141
y: 109
width: 33
height: 97

Frame: 1411
x: 144
y: 107
width: 33
height: 97

Frame: 1412
x: 146
y: 107
width: 33
height: 97

Frames: 1413 to 1416
x: 147
y: 107
width: 33
height: 97

Frame: 1417
x: 149
y: 107
width: 33
height: 97

Frame: 1418
x: 150
y: 107
width: 33
height: 97

Frames: 1419 to 1420
x: 152
y: 106
width: 33
height: 97

Frames: 1421 to 1422
x: 154
y: 106
width: 33
height: 97

Frame: 1423
x: 155
y: 106
width: 33
height: 97

Frame: 1424
x: 159
y: 105
width: 33
height: 97

Frame: 1425
x: 160
y: 106
width: 32
height: 96

Frames: 1426 to 1427
x: 162
y: 106
width: 32
height: 96

Frame: 1428
x: 163
y: 106
width: 32
height: 96

Frame: 1429
x: 168
y: 104
width: 32
height: 96

Frame: 1430
x: 170
y: 103
width: 32
height: 96

Frame: 1431
x: 171
y: 108
width: 31
height: 91

Frame: 1432
x: 173
y: 108
width: 31
height: 91

Frame: 1433
x: 176
y: 107
width: 31
height: 91

Frame: 1434
x: 176
y: 106
width: 31
height: 91

Frame: 1435
x: 177
y: 106
width: 31
height: 88

Frame: 1436
x: 178
y: 106
width: 31
height: 88

Frame: 1437
x: 179
y: 106
width: 31
height: 88

Frame: 1438
x: 184
y: 106
width: 31
height: 88

Frames: 1439 to 1440
x: 185
y: 106
width: 31
height: 88

Frame: 1441
x: 185
y: 105
width: 31
height: 88

Frame: 1442
x: 185
y: 112
width: 29
height: 81

Frame: 1443
x: 187
y: 112
width: 29
height: 81

Frame: 1444
x: 189
y: 110
width: 29
height: 81

Frame: 1445
x: 191
y: 107
width: 29
height: 81

Frame: 1446
x: 191
y: 108
width: 27
height: 79

Frame: 1447
x: 193
y: 108
width: 27
height: 79

Frame: 1448
x: 195
y: 108
width: 27
height: 79

Frame: 1449
x: 196
y: 107
width: 27
height: 79

Frames: 1450 to 1452
x: 197
y: 106
width: 27
height: 79

Frames: 1453 to 1456
x: 198
y: 106
width: 27
height: 79

Frames: 1457 to 1463
x: 199
y: 105
width: 27
height: 79

Frames: 1464 to 1465
x: 200
y: 105
width: 27
height: 79

Frame: 1466
x: 200
y: 104
width: 27
height: 79

Frame: 1467
x: 200
y: 106
width: 27
height: 77

Frames: 1468 to 1469
x: 202
y: 106
width: 27
height: 77

Frames: 1470 to 1512
x: 204
y: 104
width: 27
height: 77

Frame: 1513
x: 203
y: 104
width: 27
height: 77

Frames: 1514 to 1515
x: 201
y: 104
width: 27
height: 77

Frames: 1516 to 1517
x: 200
y: 104
width: 27
height: 77

Frames: 1518 to 1520
x: 199
y: 104
width: 27
height: 77

Frame: 1521
x: 198
y: 104
width: 27
height: 77

Frame: 1522
x: 196
y: 104
width: 27
height: 77

Frames: 1523 to 1524
x: 194
y: 104
width: 27
height: 77

Frame: 1525
x: 192
y: 104
width: 27
height: 77

Frame: 1526
x: 191
y: 104
width: 27
height: 77

Frame: 1527
x: 190
y: 104
width: 27
height: 77

Frame: 1528
x: 190
y: 101
width: 27
height: 75

Frames: 1529 to 1530
x: 188
y: 99
width: 27
height: 77

Frame: 1531
x: 191
y: 99
width: 27
height: 77

Frame: 1532
x: 193
y: 99
width: 27
height: 77

Frames: 1533 to 1536
x: 194
y: 100
width: 27
height: 77

Frames: 1537 to 1557
x: 197
y: 100
width: 27
height: 77

Frame: 1558
x: 198
y: 100
width: 27
height: 77

Frames: 1559 to 1560
x: 199
y: 100
width: 27
height: 77

Frame: 1561
x: 200
y: 100
width: 27
height: 77

Frame: 1562
x: 201
y: 99
width: 27
height: 77

Frames: 1563 to 1635
x: 202
y: 99
width: 27
height: 77

Frames: 1636 to 1666
x: 199
y: 99
width: 27
height: 77

Frames: 1667 to 1668
x: 199
y: 104
width: 27
height: 72

Frames: 1669 to 1671
x: 202
y: 104
width: 27
height: 72

Frames: 1672 to 1673
x: 203
y: 103
width: 27
height: 72

Frame: 1674
x: 205
y: 103
width: 27
height: 72

Frames: 1675 to 1677
x: 206
y: 103
width: 27
height: 72

Frames: 1678 to 1679
x: 207
y: 103
width: 27
height: 72

Frames: 1680 to 1693
x: 208
y: 103
width: 27
height: 72

Frame: 1694
x: 209
y: 103
width: 27
height: 72

Frame: 1695
x: 210
y: 103
width: 27
height: 72

Frame: 1696
x: 211
y: 102
width: 27
height: 72

Frame: 1697
x: 213
y: 102
width: 27
height: 72

Frames: 1698 to 1699
x: 214
y: 102
width: 27
height: 72

Frame: 1700
x: 215
y: 102
width: 27
height: 72

Frame: 1701
x: 217
y: 102
width: 27
height: 72

Frame: 1702
x: 218
y: 102
width: 27
height: 72

Frame: 1703
x: 222
y: 102
width: 27
height: 72

Frames: 1704 to 1706
x: 223
y: 102
width: 27
height: 72

Frames: 1707 to 1708
x: 225
y: 102
width: 27
height: 72

Frames: 1709 to 1823
x: 225
y: 103
width: 27
height: 72

Frame: 1824
x: 226
y: 103
width: 27
height: 72

Frame: 1825
x: 228
y: 103
width: 27
height: 72

Frame: 1826
x: 229
y: 103
width: 27
height: 72

Frame: 1827
x: 230
y: 103
width: 27
height: 72

Frame: 1828
x: 231
y: 103
width: 27
height: 72

Frame: 1829
x: 233
y: 103
width: 27
height: 72

Frame: 1830
x: 236
y: 103
width: 27
height: 72

Frame: 1831
x: 237
y: 103
width: 27
height: 72

Frame: 1832
x: 238
y: 103
width: 27
height: 72

Frame: 1833
x: 240
y: 103
width: 27
height: 72

Frame: 1834
x: 242
y: 103
width: 27
height: 72

Frame: 1835
x: 244
y: 103
width: 27
height: 72

Frame: 1836
x: 245
y: 103
width: 27
height: 72

Frames: 1837 to 1838
x: 246
y: 103
width: 27
height: 72

Frame: 1839
x: 247
y: 103
width: 27
height: 72

Frame: 1840
x: 250
y: 103
width: 27
height: 72

Frame: 1841
x: 251
y: 103
width: 27
height: 72

Frame: 1842
x: 252
y: 103
width: 26
height: 71

Frame: 1843
x: 254
y: 102
width: 26
height: 71

Frame: 1844
x: 255
y: 101
width: 26
height: 71

Frame: 1845
x: 256
y: 101
width: 26
height: 71

Frames: 1846 to 1894
x: 259
y: 101
width: 26
height: 71

Frame: 1895
x: 261
y: 101
width: 26
height: 71

Frames: 1896 to 1897
x: 262
y: 101
width: 26
height: 71

Frame: 1898
x: 263
y: 101
width: 26
height: 71

Frame: 1899
x: 264
y: 101
width: 26
height: 71

Frames: 1900 to 1901
x: 265
y: 101
width: 26
height: 71

Frames: 1902 to 1905
x: 266
y: 101
width: 26
height: 71

Frame: 1906
x: 266
y: 104
width: 25
height: 68

Frames: 1907 to 1930
x: 266
y: 105
width: 25
height: 68

Frames: 1931 to 1933
x: 265
y: 105
width: 25
height: 68

Frames: 1934 to 2000
x: 264
y: 105
width: 25
height: 68

Object Number #56
Region Description:
Region 56
Start Frame:1116
End Frame:2000
Region Descriptors (0):
Region frames data
Frame: 1116
x: -1
y: 97
width: 33
height: 105

Frame: 1117
x: -1
y: 97
width: 39
height: 105

Frame: 1118
x: 0
y: 97
width: 41
height: 111

Frame: 1119
x: 7
y: 97
width: 41
height: 111

Frame: 1120
x: 9
y: 97
width: 41
height: 111

Frames: 1121 to 1122
x: 12
y: 97
width: 41
height: 111

Frame: 1123
x: 16
y: 98
width: 41
height: 111

Frames: 1124 to 1125
x: 18
y: 98
width: 41
height: 111

Frame: 1126
x: 22
y: 98
width: 41
height: 111

Frames: 1127 to 1128
x: 24
y: 98
width: 41
height: 111

Frame: 1129
x: 27
y: 98
width: 41
height: 111

Frame: 1130
x: 30
y: 98
width: 41
height: 111

Frame: 1131
x: 32
y: 98
width: 41
height: 111

Frame: 1132
x: 36
y: 97
width: 41
height: 111

Frame: 1133
x: 37
y: 97
width: 41
height: 111

Frame: 1134
x: 38
y: 97
width: 41
height: 111

Frame: 1135
x: 40
y: 97
width: 41
height: 111

Frame: 1136
x: 41
y: 97
width: 41
height: 111

Frame: 1137
x: 44
y: 97
width: 41
height: 111

Frame: 1138
x: 48
y: 98
width: 41
height: 111

Frame: 1139
x: 54
y: 99
width: 41
height: 111

Frame: 1140
x: 61
y: 99
width: 41
height: 111

Frame: 1141
x: 69
y: 99
width: 41
height: 111

Frames: 1142 to 1143
x: 72
y: 99
width: 41
height: 111

Frame: 1144
x: 78
y: 101
width: 41
height: 111

Frame: 1145
x: 85
y: 101
width: 41
height: 111

Frame: 1146
x: 82
y: 101
width: 41
height: 111

Frame: 1147
x: 83
y: 101
width: 41
height: 111

Frames: 1148 to 1149
x: 86
y: 99
width: 41
height: 111

Frame: 1150
x: 89
y: 99
width: 41
height: 111

Frame: 1151
x: 87
y: 96
width: 46
height: 115

Frame: 1152
x: 89
y: 97
width: 46
height: 115

Frame: 1153
x: 91
y: 97
width: 46
height: 115

Frame: 1154
x: 93
y: 98
width: 46
height: 115

Frame: 1155
x: 92
y: 100
width: 41
height: 122

Frame: 1156
x: 94
y: 100
width: 41
height: 122

Frame: 1157
x: 95
y: 100
width: 42
height: 122

Frames: 1158 to 1159
x: 95
y: 100
width: 46
height: 122

Frame: 1160
x: 93
y: 98
width: 47
height: 125

Frame: 1161
x: 94
y: 101
width: 46
height: 122

Frame: 1162
x: 93
y: 101
width: 46
height: 122

Frame: 1163
x: 91
y: 100
width: 45
height: 131

Frame: 1164
x: 92
y: 100
width: 45
height: 131

Frame: 1165
x: 90
y: 100
width: 45
height: 131

Frame: 1166
x: 87
y: 99
width: 45
height: 131

Frame: 1167
x: 85
y: 98
width: 45
height: 131

Frames: 1168 to 1169
x: 84
y: 98
width: 45
height: 131

Frames: 1170 to 1172
x: 83
y: 98
width: 45
height: 131

Frames: 1173 to 1311
x: 82
y: 97
width: 47
height: 136

Frame: 1312
x: 84
y: 97
width: 47
height: 136

Frames: 1313 to 1315
x: 85
y: 97
width: 47
height: 136

Frame: 1316
x: 87
y: 97
width: 47
height: 136

Frames: 1317 to 1319
x: 89
y: 97
width: 47
height: 136

Frame: 1320
x: 90
y: 97
width: 47
height: 136

Frame: 1321
x: 92
y: 97
width: 47
height: 136

Frame: 1322
x: 94
y: 96
width: 47
height: 136

Frames: 1323 to 1325
x: 95
y: 95
width: 47
height: 136

Frames: 1326 to 1329
x: 98
y: 96
width: 49
height: 132

Frame: 1330
x: 99
y: 96
width: 49
height: 132

Frame: 1331
x: 100
y: 96
width: 49
height: 132

Frames: 1332 to 1343
x: 100
y: 97
width: 49
height: 128

Frames: 1344 to 1345
x: 103
y: 98
width: 49
height: 128

Frame: 1346
x: 105
y: 98
width: 49
height: 128

Frames: 1347 to 1354
x: 107
y: 98
width: 49
height: 128

Frame: 1355
x: 109
y: 98
width: 49
height: 128

Frame: 1356
x: 111
y: 98
width: 49
height: 128

Frame: 1357
x: 112
y: 98
width: 49
height: 128

Frame: 1358
x: 114
y: 98
width: 49
height: 128

Frame: 1359
x: 115
y: 98
width: 49
height: 128

Frame: 1360
x: 116
y: 97
width: 49
height: 128

Frame: 1361
x: 117
y: 96
width: 49
height: 128

Frame: 1362
x: 119
y: 96
width: 49
height: 128

Frame: 1363
x: 120
y: 95
width: 49
height: 128

Frame: 1364
x: 123
y: 94
width: 49
height: 128

Frame: 1365
x: 124
y: 94
width: 49
height: 128

Frame: 1366
x: 126
y: 94
width: 49
height: 128

Frames: 1367 to 1368
x: 128
y: 96
width: 45
height: 126

Frame: 1369
x: 130
y: 96
width: 45
height: 126

Frame: 1370
x: 133
y: 94
width: 45
height: 126

Frame: 1371
x: 136
y: 95
width: 40
height: 121

Frame: 1372
x: 137
y: 95
width: 40
height: 121

Frame: 1373
x: 138
y: 95
width: 40
height: 121

Frame: 1374
x: 140
y: 95
width: 40
height: 121

Frame: 1375
x: 144
y: 95
width: 40
height: 121

Frame: 1376
x: 145
y: 95
width: 40
height: 121

Frame: 1377
x: 147
y: 94
width: 40
height: 121

Frame: 1378
x: 148
y: 94
width: 40
height: 121

Frame: 1379
x: 150
y: 94
width: 40
height: 121

Frames: 1380 to 1381
x: 152
y: 93
width: 40
height: 121

Frame: 1382
x: 153
y: 93
width: 40
height: 121

Frames: 1383 to 1384
x: 154
y: 97
width: 43
height: 117

Frame: 1385
x: 157
y: 97
width: 43
height: 117

Frame: 1386
x: 159
y: 97
width: 43
height: 117

Frames: 1387 to 1390
x: 160
y: 97
width: 43
height: 117

Frames: 1391 to 1393
x: 163
y: 97
width: 43
height: 117

Frame: 1394
x: 164
y: 97
width: 43
height: 117

Frames: 1395 to 1397
x: 165
y: 96
width: 43
height: 117

Frames: 1398 to 1399
x: 165
y: 98
width: 40
height: 112

Frame: 1400
x: 168
y: 97
width: 40
height: 112

Frame: 1401
x: 169
y: 96
width: 40
height: 112

Frames: 1402 to 1405
x: 170
y: 95
width: 40
height: 112

Frame: 1406
x: 173
y: 95
width: 40
height: 112

Frames: 1407 to 1408
x: 174
y: 95
width: 40
height: 112

Frame: 1409
x: 177
y: 95
width: 40
height: 112

Frame: 1410
x: 180
y: 95
width: 40
height: 112

Frame: 1411
x: 182
y: 95
width: 40
height: 112

Frame: 1412
x: 184
y: 95
width: 40
height: 112

Frame: 1413
x: 186
y: 95
width: 40
height: 112

Frame: 1414
x: 186
y: 95
width: 40
height: 106

Frame: 1415
x: 187
y: 95
width: 40
height: 106

Frame: 1416
x: 189
y: 95
width: 40
height: 106

Frame: 1417
x: 190
y: 95
width: 40
height: 106

Frame: 1418
x: 191
y: 95
width: 40
height: 106

Frame: 1419
x: 194
y: 95
width: 40
height: 106

Frames: 1420 to 1422
x: 195
y: 95
width: 40
height: 106

Frame: 1423
x: 197
y: 93
width: 40
height: 106

Frame: 1424
x: 197
y: 92
width: 40
height: 106

Frame: 1425
x: 199
y: 96
width: 39
height: 101

Frame: 1426
x: 203
y: 96
width: 39
height: 101

Frames: 1427 to 1428
x: 205
y: 96
width: 39
height: 101

Frame: 1429
x: 206
y: 96
width: 39
height: 101

Frame: 1430
x: 209
y: 93
width: 39
height: 101

Frame: 1431
x: 209
y: 95
width: 38
height: 98

Frame: 1432
x: 211
y: 95
width: 38
height: 98

Frame: 1433
x: 212
y: 95
width: 38
height: 98

Frames: 1434 to 1435
x: 213
y: 94
width: 38
height: 98

Frame: 1436
x: 215
y: 94
width: 38
height: 98

Frame: 1437
x: 217
y: 94
width: 38
height: 98

Frame: 1438
x: 218
y: 94
width: 38
height: 98

Frame: 1439
x: 221
y: 94
width: 38
height: 98

Frame: 1440
x: 221
y: 94
width: 38
height: 96

Frame: 1441
x: 222
y: 94
width: 38
height: 96

Frames: 1442 to 1447
x: 223
y: 94
width: 38
height: 96

Frame: 1448
x: 224
y: 94
width: 38
height: 96

Frame: 1449
x: 225
y: 93
width: 38
height: 96

Frame: 1450
x: 225
y: 92
width: 38
height: 96

Frames: 1451 to 1453
x: 225
y: 94
width: 32
height: 94

Frame: 1454
x: 228
y: 92
width: 32
height: 94

Frames: 1455 to 1457
x: 230
y: 91
width: 32
height: 94

Frame: 1458
x: 230
y: 94
width: 32
height: 91

Frame: 1459
x: 231
y: 94
width: 32
height: 91

Frame: 1460
x: 232
y: 94
width: 32
height: 91

Frames: 1461 to 1463
x: 233
y: 91
width: 32
height: 91

Frames: 1464 to 1465
x: 234
y: 91
width: 32
height: 91

Frames: 1466 to 1469
x: 235
y: 91
width: 32
height: 91

Frame: 1470
x: 237
y: 91
width: 32
height: 91

Frames: 1471 to 1474
x: 235
y: 93
width: 32
height: 91

Frames: 1475 to 1477
x: 237
y: 93
width: 32
height: 91

Frames: 1478 to 1507
x: 236
y: 92
width: 32
height: 91

Frames: 1508 to 1533
x: 235
y: 94
width: 32
height: 89

Frames: 1534 to 1536
x: 233
y: 94
width: 32
height: 89

Frame: 1537
x: 232
y: 94
width: 32
height: 89

Frame: 1538
x: 231
y: 94
width: 32
height: 89

Frames: 1539 to 1540
x: 230
y: 94
width: 32
height: 89

Frame: 1541
x: 229
y: 94
width: 32
height: 89

Frame: 1542
x: 228
y: 94
width: 32
height: 89

Frames: 1543 to 1545
x: 228
y: 95
width: 32
height: 87

Frame: 1546
x: 225
y: 95
width: 32
height: 87

Frame: 1547
x: 224
y: 95
width: 32
height: 87

Frame: 1548
x: 224
y: 93
width: 32
height: 87

Frame: 1549
x: 223
y: 93
width: 32
height: 87

Frames: 1550 to 1552
x: 225
y: 96
width: 30
height: 85

Frames: 1553 to 1555
x: 226
y: 96
width: 30
height: 85

Frame: 1556
x: 228
y: 95
width: 30
height: 85

Frames: 1557 to 1558
x: 229
y: 95
width: 26
height: 83

Frame: 1559
x: 231
y: 95
width: 26
height: 83

Frames: 1560 to 1561
x: 232
y: 95
width: 26
height: 83

Frames: 1562 to 1581
x: 232
y: 93
width: 26
height: 83

Frames: 1582 to 1590
x: 234
y: 93
width: 26
height: 83

Frame: 1591
x: 235
y: 93
width: 26
height: 83

Frames: 1592 to 1595
x: 236
y: 93
width: 26
height: 83

Frames: 1596 to 1684
x: 236
y: 93
width: 26
height: 79

Frames: 1685 to 1688
x: 237
y: 93
width: 26
height: 79

Frames: 1689 to 1691
x: 239
y: 93
width: 26
height: 79

Frame: 1692
x: 241
y: 94
width: 26
height: 79

Frame: 1693
x: 242
y: 94
width: 26
height: 79

Frame: 1694
x: 243
y: 94
width: 26
height: 79

Frame: 1695
x: 244
y: 94
width: 26
height: 79

Frames: 1696 to 1698
x: 245
y: 94
width: 26
height: 79

Frames: 1699 to 1700
x: 246
y: 94
width: 26
height: 79

Frame: 1701
x: 248
y: 94
width: 26
height: 79

Frames: 1702 to 1711
x: 249
y: 94
width: 26
height: 79

Frame: 1712
x: 249
y: 94
width: 27
height: 82

Frame: 1713
x: 251
y: 94
width: 27
height: 82

Frames: 1714 to 1715
x: 252
y: 94
width: 27
height: 82

Frame: 1716
x: 253
y: 94
width: 27
height: 82

Frames: 1717 to 1720
x: 253
y: 95
width: 27
height: 82

Frames: 1721 to 1776
x: 253
y: 96
width: 27
height: 82

Frames: 1777 to 1778
x: 253
y: 93
width: 28
height: 85

Frames: 1779 to 1782
x: 256
y: 93
width: 28
height: 85

Frames: 1783 to 1784
x: 257
y: 93
width: 28
height: 85

Frame: 1785
x: 258
y: 93
width: 28
height: 85

Frame: 1786
x: 261
y: 93
width: 28
height: 85

Frames: 1787 to 1789
x: 262
y: 93
width: 28
height: 85

Frames: 1790 to 1791
x: 264
y: 93
width: 28
height: 85

Frame: 1792
x: 265
y: 93
width: 28
height: 85

Frames: 1793 to 1794
x: 266
y: 93
width: 28
height: 85

Frame: 1795
x: 267
y: 93
width: 28
height: 85

Frame: 1796
x: 268
y: 93
width: 28
height: 85

Frame: 1797
x: 270
y: 93
width: 28
height: 85

Frame: 1798
x: 273
y: 93
width: 28
height: 85

Frame: 1799
x: 275
y: 93
width: 28
height: 85

Frame: 1800
x: 277
y: 93
width: 28
height: 85

Frame: 1801
x: 279
y: 93
width: 28
height: 85

Frame: 1802
x: 280
y: 93
width: 28
height: 85

Frames: 1803 to 1804
x: 282
y: 93
width: 28
height: 85

Frames: 1805 to 1878
x: 283
y: 93
width: 28
height: 85

Frame: 1879
x: 284
y: 93
width: 28
height: 85

Frame: 1880
x: 285
y: 93
width: 28
height: 85

Frames: 1881 to 1883
x: 286
y: 93
width: 28
height: 85

Frames: 1884 to 2000
x: 287
y: 93
width: 28
height: 85

Object Number #57
Region Description:
Region 57
Start Frame:1168
End Frame:2000
Region Descriptors (0):
Region frames data
Frames: 1168 to 1170
x: -2
y: 114
width: 35
height: 117

Frames: 1171 to 1172
x: 0
y: 114
width: 35
height: 117

Frame: 1173
x: 1
y: 114
width: 35
height: 117

Frames: 1174 to 1175
x: 1
y: 114
width: 36
height: 120

Frame: 1176
x: 3
y: 113
width: 36
height: 120

Frames: 1177 to 1179
x: 3
y: 112
width: 36
height: 120

Frames: 1180 to 1232
x: 4
y: 112
width: 36
height: 120

Frames: 1233 to 1355
x: 4
y: 112
width: 40
height: 123

Frame: 1356
x: 6
y: 110
width: 40
height: 123

Frame: 1357
x: 10
y: 109
width: 40
height: 123

Frame: 1358
x: 11
y: 109
width: 40
height: 123

Frame: 1359
x: 13
y: 109
width: 40
height: 123

Frame: 1360
x: 15
y: 108
width: 40
height: 123

Frame: 1361
x: 17
y: 108
width: 40
height: 123

Frame: 1362
x: 18
y: 108
width: 40
height: 123

Frame: 1363
x: 21
y: 106
width: 40
height: 123

Frame: 1364
x: 27
y: 109
width: 38
height: 119

Frames: 1365 to 1366
x: 28
y: 109
width: 38
height: 119

Frame: 1367
x: 29
y: 109
width: 38
height: 119

Frame: 1368
x: 32
y: 109
width: 38
height: 119

Frame: 1369
x: 35
y: 106
width: 38
height: 119

Frame: 1370
x: 38
y: 105
width: 38
height: 119

Frame: 1371
x: 43
y: 110
width: 36
height: 111

Frame: 1372
x: 45
y: 109
width: 36
height: 111

Frame: 1373
x: 46
y: 107
width: 36
height: 111

Frame: 1374
x: 51
y: 102
width: 36
height: 111

Frame: 1375
x: 55
y: 107
width: 34
height: 105

Frame: 1376
x: 56
y: 107
width: 34
height: 105

Frame: 1377
x: 58
y: 107
width: 34
height: 105

Frame: 1378
x: 59
y: 107
width: 34
height: 105

Frame: 1379
x: 60
y: 106
width: 34
height: 105

Frame: 1380
x: 64
y: 106
width: 34
height: 105

Frame: 1381
x: 67
y: 106
width: 34
height: 105

Frame: 1382
x: 69
y: 106
width: 34
height: 105

Frame: 1383
x: 71
y: 105
width: 34
height: 105

Frame: 1384
x: 73
y: 104
width: 34
height: 105

Frame: 1385
x: 74
y: 104
width: 34
height: 105

Frame: 1386
x: 75
y: 103
width: 34
height: 105

Frame: 1387
x: 75
y: 102
width: 34
height: 105

Frame: 1388
x: 77
y: 102
width: 34
height: 105

Frame: 1389
x: 82
y: 101
width: 34
height: 105

Frame: 1390
x: 84
y: 98
width: 34
height: 105

Frames: 1391 to 1392
x: 85
y: 107
width: 35
height: 95

Frames: 1393 to 1395
x: 87
y: 107
width: 35
height: 95

Frame: 1396
x: 89
y: 107
width: 35
height: 95

Frame: 1397
x: 90
y: 107
width: 35
height: 95

Frame: 1398
x: 91
y: 107
width: 35
height: 95

Frame: 1399
x: 92
y: 107
width: 35
height: 95

Frame: 1400
x: 94
y: 107
width: 35
height: 95

Frame: 1401
x: 97
y: 107
width: 35
height: 95

Frame: 1402
x: 98
y: 107
width: 35
height: 95

Frames: 1403 to 1405
x: 101
y: 106
width: 35
height: 95

Frame: 1406
x: 105
y: 105
width: 35
height: 95

Frames: 1407 to 1408
x: 109
y: 107
width: 32
height: 88

Frame: 1409
x: 108
y: 107
width: 32
height: 88

Frame: 1410
x: 110
y: 105
width: 32
height: 88

Frame: 1411
x: 112
y: 105
width: 32
height: 88

Frame: 1412
x: 113
y: 104
width: 32
height: 88

Frame: 1413
x: 114
y: 104
width: 32
height: 88

Frame: 1414
x: 116
y: 103
width: 32
height: 88

Frame: 1415
x: 118
y: 102
width: 32
height: 88

Frame: 1416
x: 119
y: 101
width: 32
height: 88

Frame: 1417
x: 120
y: 100
width: 32
height: 88

Frame: 1418
x: 122
y: 100
width: 32
height: 88

Frame: 1419
x: 125
y: 106
width: 31
height: 81

Frame: 1420
x: 126
y: 106
width: 31
height: 81

Frame: 1421
x: 129
y: 106
width: 31
height: 81

Frames: 1422 to 1423
x: 131
y: 105
width: 31
height: 81

Frame: 1424
x: 132
y: 104
width: 31
height: 81

Frame: 1425
x: 133
y: 104
width: 31
height: 81

Frame: 1426
x: 135
y: 103
width: 31
height: 81

Frame: 1427
x: 137
y: 100
width: 31
height: 81

Frame: 1428
x: 138
y: 100
width: 31
height: 81

Frame: 1429
x: 139
y: 100
width: 31
height: 81

Frame: 1430
x: 141
y: 100
width: 31
height: 81

Frame: 1431
x: 144
y: 100
width: 31
height: 81

Frame: 1432
x: 145
y: 100
width: 31
height: 81

Frame: 1433
x: 148
y: 99
width: 31
height: 81

Frame: 1434
x: 149
y: 99
width: 31
height: 81

Frame: 1435
x: 150
y: 99
width: 31
height: 81

Frame: 1436
x: 151
y: 99
width: 31
height: 81

Frame: 1437
x: 152
y: 99
width: 31
height: 81

Frame: 1438
x: 153
y: 99
width: 31
height: 81

Frame: 1439
x: 160
y: 103
width: 27
height: 77

Frames: 1440 to 1441
x: 162
y: 103
width: 27
height: 77

Frame: 1442
x: 163
y: 103
width: 27
height: 77

Frames: 1443 to 1445
x: 165
y: 103
width: 27
height: 77

Frames: 1446 to 1447
x: 167
y: 103
width: 27
height: 77

Frame: 1448
x: 169
y: 103
width: 27
height: 77

Frame: 1449
x: 172
y: 103
width: 27
height: 77

Frame: 1450
x: 174
